Text,Href,about
KINGS PALACE,https://www.instagram.com/explore/locations/129970717691437/kings-palace/,"KINGS PALACE
kingspalacebhw
KING'S CAFE, BASDILWA (shivmandir), Bhairahawa 32900
Party Entertainment Service
•
1,879
posts
$$
$$
•
Open until 4:00 PM
+9779857010161"
The Burger House and Crunchy Fried Chicken Bhairahawa,https://www.instagram.com/explore/locations/103247595037540/the-burger-house-and-crunchy-fried-chicken-bhairahawa/,"The Burger House and Crunchy Fried Chicken Bhairahawa
Burger Restaurant
•
1,213
posts
Closed
+977 71-590303"
Bhairahawa Devkota Chock,https://www.instagram.com/explore/locations/1033459219/bhairahawa-devkota-chock/,"Bhairahawa Devkota Chock
Bhairahawa, Siddharthanagar, Nepal
Arts & entertainment
•
1,413
posts
$
$$$
•
Open 24 hours"
"Mourya Hotel, Spa & Casino",https://www.instagram.com/explore/locations/102211547934932/mourya-hotel-spa-casino/,"Mourya Hotel, Spa & Casino
mourya_hotel_spa_and_casino
Bhairahawa, Bhairahawa
Hotel resort
•
816
posts
Open 24 hours
+97771572983"
Black Forest Bhairahawa,https://www.instagram.com/explore/locations/409209707/black-forest-bhairahawa/,"Black Forest Bhairahawa
Cafe
•
1,015
posts
Closed
+977 71-574846"
Bhat Bhateni Supermarket Bhairahawa,https://www.instagram.com/explore/locations/106910897471500/bhat-bhateni-supermarket-bhairahawa/,"Bhat Bhateni Supermarket Bhairahawa
Supermarket
•
832
posts
$$
$$
•
Closed
+977 71-525831"
Red Sun Funpark,https://www.instagram.com/explore/locations/107058390675917/red-sun-funpark/,"Red Sun Funpark
Basantapur-04, Rupandehi, Nepal
Performance & Event Venue
•
810
posts
Closed
+977 71-525957"
Zodiac lounge & bar,https://www.instagram.com/explore/locations/2208473395893243/zodiac-lounge-bar/,"Zodiac lounge & bar
GF46+6P Siddharthanagar, Bhairahawa
Lounge
•
745
posts
$$
$$
•
Closed
+977 985-7024976"
"Hotel Bodhi Redsun, Bhairahawa Nepal",https://www.instagram.com/explore/locations/102031924714609/hotel-bodhi-redsun-bhairahawa-nepal/,"Hotel Bodhi Redsun, Bhairahawa Nepal
Hotel
•
832
posts
Open 24 hours
+977 71-525957"
New Busy Beans Cafe,https://www.instagram.com/explore/locations/1649812811996371/new-busy-beans-cafe/,"New Busy Beans Cafe
Maitripath, Bhairahawa maitripath
Cafeteria
•
1,074
posts
$$
$$
•
Closed
+9779821911338"
Pizza king,https://www.instagram.com/explore/locations/437744804/pizza-king/,"Pizza king
prahari tole, Bhairahawa
Restaurant
•
939
posts
$$
$$
•
Closed
+977 981-7599712"
Bhairahawa.Cty,https://www.instagram.com/explore/locations/997684534/bhairahawacty/,"Bhairahawa.  Cty
1,178
posts
$
$$$
+977 985-7035612"
Kashi Cineplex,https://www.instagram.com/explore/locations/867737046/kashi-cineplex/,"Kashi Cineplex
Naya Sadak, Siddharthanagar, Nepal 32900
Movie Theater
•
534
posts
$$$
$
•
Closed
+977 71-570927"
Racing Track,https://www.instagram.com/explore/locations/1032076912/racing-track/,"Racing Track
Race Track
•
947
posts"
Lumbini. Nepal,https://www.instagram.com/explore/locations/221537460/lumbini-nepal/,"Lumbini. Nepal
City
•
512
posts"
Bama Tandoors,https://www.instagram.com/explore/locations/430136274/bama-tandoors/,"Bama Tandoors
Haat Bazaar road, Bhairahawa 44600
Cafe
•
409
posts
$$
$$
•
Closed
+977 71-570195"
Avengers_cafe_and_Bar,https://www.instagram.com/explore/locations/113248363934232/avengers_cafe_and_bar/,"Avengers_cafe_and_Bar
avengers_cafe_and_bar
Bijaypath
, Bhairahawa, Nepal
Cafe
•
415
posts
Open 24 hours
+9779819430918"
"Butwal,Siddhababa",https://www.instagram.com/explore/locations/371057435/butwalsiddhababa/,"Butwal,Siddhababa
713
posts"
Lumbini gate,https://www.instagram.com/explore/locations/264138514/lumbini-gate/,N/A
Around The Tree,https://www.instagram.com/explore/locations/103578564885019/around-the-tree/,"Around The Tree
aroundthe_tree
Prahari Tole, Bhairahawa 339906
Restaurant
•
292
posts
Closed
+9779800710495"
Hummer Fitness Bhairahawa,https://www.instagram.com/explore/locations/1282710368539748/hummer-fitness-bhairahawa/,"Hummer Fitness Bhairahawa
Gym/Physical Fitness Center
•
525
posts
$
$$$
•
Closed
+977 985-7023691"
TNT Rock Bar,https://www.instagram.com/explore/locations/112600849289600/tnt-rock-bar/,"TNT Rock Bar
tnt_bhw
Bank Road, Bhairahawa
Pub
•
1,037
posts
$$
$$
+9779857024196"
Ganga Jamuna,https://www.instagram.com/explore/locations/103117644765287/ganga-jamuna/,"Ganga Jamuna
Personal blog
•
277
posts"
"Basantapur, Rupandehi",https://www.instagram.com/explore/locations/220334231338018/basantapur-rupandehi/,"Basantapur, Rupandehi
Government organization
•
861
posts"
The Grand Kitchen,https://www.instagram.com/explore/locations/106014665249868/the-grand-kitchen/,"The Grand Kitchen
Janakpath -7, Siddharthanagar, Bhairahawa 05324
Restaurant
•
471
posts
$
$$$
+977 71-590895"
"Shri Satiya Mai Ram Janki Mandir Gauri - Silautiya mela Rupandehi, Nepal",https://www.instagram.com/explore/locations/425894434276684/shri-satiya-mai-ram-janki-mandir-gauri-silautiya-mela-rupandehi-nepal/,"Shri Satiya Mai Ram Janki Mandir Gauri - Silautiya mela Rupandehi, Nepal
Bhairahawa,Rupandehi-Nepal, Bhairahawa
806
posts
+977 981-2946443"
"Bhairwa, Nepal",https://www.instagram.com/explore/locations/641605078/bhairwa-nepal/,N/A
Gulmohar Restaurant,https://www.instagram.com/explore/locations/101800156159596/gulmohar-restaurant/,"Gulmohar Restaurant
gulmoharrestro
Siddhartahnagar 12, Janak Path, Bhairahawa, Nepal
Restaurant
•
417
posts
$$
$$
+9779857075577"
"Lumbini, Birth Place of Buddha",https://www.instagram.com/explore/locations/170739029736655/lumbini-birth-place-of-buddha/,"Lumbini, Birth Place of Buddha
History Museum
•
389
posts"
Bodhi Red Sun Fun Park and Hotel In Bhairahawa,https://www.instagram.com/explore/locations/108311087247433/bodhi-red-sun-fun-park-and-hotel-in-bhairahawa/,"Bodhi Red Sun Fun Park and Hotel In Bhairahawa
Hotel
•
353
posts
+977 71-525957"
"lumbani,nepal",https://www.instagram.com/explore/locations/332593540/lumbaninepal/,"lumbani,nepal
Home
•
531
posts"
Pawan Misthan Bhandar Bhairahawa Nepal,https://www.instagram.com/explore/locations/179028956343219/pawan-misthan-bhandar-bhairahawa-nepal/,"Pawan Misthan Bhandar Bhairahawa Nepal
Restaurant
•
66
posts
$
$$$
+977 984-7197001"
The Naman Restaurant,https://www.instagram.com/explore/locations/1018364050/the-naman-restaurant/,"The Naman Restaurant
the_naman_restaurant
AAWA ROAD 12,BHAIRAHAWA RUPENDEHI NEPAL, Bhairahawa 12345
Nepalese Restaurant
•
264
posts
$
$$$
+9779749788507"
Koushi Downtown,https://www.instagram.com/explore/locations/101711014779562/koushi-downtown/,"Koushi Downtown
Asian Restaurant
•
248
posts
+977 985-7010843"
"Pepe Pizza, Bhairahawa, Bhatbhateni",https://www.instagram.com/explore/locations/106429207525584/pepe-pizza-bhairahawa-bhatbhateni/,"Pepe Pizza, Bhairahawa, Bhatbhateni
Pizza place
•
148
posts
+977 982-7514250"
Patwa Banquet,https://www.instagram.com/explore/locations/355945458374766/patwa-banquet/,"Patwa Banquet
Performance & Event Venue
•
652
posts
$$
$$
+977 985-7020153"
Al-Baik.com,https://www.instagram.com/explore/locations/112055943634392/al-baikcom/,"Al-Baik.com
Halal Restaurant
•
143
posts
+977 981-9438601"
Hotel Gap & Restaurant,https://www.instagram.com/explore/locations/1020378850/hotel-gap-restaurant/,"Hotel Gap & Restaurant
Bhairahawa,Nepal, Bhairahawa
Hotel
•
300
posts
+977 71-520271"
Anchalpur,https://www.instagram.com/explore/locations/370212892/anchalpur/,"Anchalpur
Residence
•
706
posts
$
$$$"
"Lumbini Eye Institute,bhairahawa",https://www.instagram.com/explore/locations/633280348/lumbini-eye-institutebhairahawa/,"Lumbini Eye Institute,bhairahawa
270
posts
+977 71-573827"
Nansc Hotel,https://www.instagram.com/explore/locations/101807515547386/nansc-hotel/,"Nansc Hotel
siddharthanagar, Bhairahawa
Hotel
•
243
posts
$$
$$
+977 71-574701"
"Bhairhwa, Nepal",https://www.instagram.com/explore/locations/727140753/bhairhwa-nepal/,N/A
Rupandehi District,https://www.instagram.com/explore/locations/105526136147571/rupandehi-district/,"Rupandehi District
Geo Entity
•
499
posts"
"Hotel Nansc, Lumbini, Nepal",https://www.instagram.com/explore/locations/317043022/hotel-nansc-lumbini-nepal/,"Hotel Nansc, Lumbini, Nepal
Devkota Chowk, Bhairahawa
Hotel
•
248
posts
$$$
$
•
Open 24 hours
+977 71-574376"
3kings,https://www.instagram.com/explore/locations/2260528660879555/3kings/,"3kings
Kalika Path, Bhairahawa
Lounge
•
186
posts
$$
$$
+977 981-4478061"
"Milan Chowk ,bhairahawa",https://www.instagram.com/explore/locations/1350277511703712/milan-chowk-bhairahawa/,"Milan Chowk ,bhairahawa
Mobile Phone Shop
•
506
posts
Open 24 hours"
Gaule Chulo गाँउले चुलो भैरहवा,https://www.instagram.com/explore/locations/109940451553681/gaule-chulo/,"Gaule Chulo गाँउले चुलो भैरहवा
Siddharthanagar-7, Nayasadak, Bhairahawa 32900
Fast food restaurant
•
34
posts
Closed
+977 980-2624119"
Siddharthanagar,https://www.instagram.com/explore/locations/109100032449018/siddharthanagar/,"Siddharthanagar
32900
Local business
•
365
posts
Closed
+977 980-7589406"
"Satyawati Mandir, Palpa Nepal",https://www.instagram.com/explore/locations/137887370198874/satyawati-mandir-palpa-nepal/,"Satyawati Mandir, Palpa Nepal
178
posts"
The Burger House and Crunchy Fried Chicken-Bhairahawa,https://www.instagram.com/explore/locations/100359608666720/the-burger-house-and-crunchy-fried-chicken-bhairahawa/,N/A
Routine of Bhairahawa Banda,https://www.instagram.com/explore/locations/1030350186/routine-of-bhairahawa-banda/,"Routine of Bhairahawa Banda
Bar
•
585
posts"
Malasiya,https://www.instagram.com/explore/locations/1018463874/malasiya/,"Malasiya
Jalaan Batu6, Klolompur
Transit Hub
•
314
posts
Closed"
Coco Waterpark by Bodhi Redsun,https://www.instagram.com/explore/locations/102882977793666/coco-waterpark-by-bodhi-redsun/,"Coco Waterpark by Bodhi Redsun
Bodhi Red sun Hotel, Bhairahawa 32900
Public Swimming Pool
•
214
posts
Open 24 hours
+977 980-1128000"
Asian Buddha Hotel,https://www.instagram.com/explore/locations/104106725806320/asian-buddha-hotel/,"Asian Buddha Hotel
asianbuddhahotel
Siddharthanagar -08 Basdilawa, Bhairahawa, Nepal 32900
Hotel resort
•
290
posts
$$$$
•
Open 24 hours
+9779857044571"
Sunauli - Bhairahawa Border,https://www.instagram.com/explore/locations/483744641741579/sunauli-bhairahawa-border/,"Sunauli - Bhairahawa Border
Clothing store
•
120
posts"
Baikunthapur,https://www.instagram.com/explore/locations/548230105740024/baikunthapur/,"Baikunthapur
Village
•
289
posts
Open 24 hours"
Kathmandu,https://www.instagram.com/explore/locations/112734217259057/kathmandu/,"Kathmandu
City
•
275
posts"
Majhgawan Marchwar Rupandehi,https://www.instagram.com/explore/locations/384606608664478/majhgawan-marchwar-rupandehi/,"Majhgawan Marchwar Rupandehi
Village
•
427
posts"
Butwal Highway,https://www.instagram.com/explore/locations/1540641389509101/butwal-highway/,"Butwal Highway
Travel & Transportation
•
59
posts"
Siddhartha Rangashala,https://www.instagram.com/explore/locations/1995463187333494/siddhartha-rangashala/,"Siddhartha Rangashala
Cricket Ground
•
152
posts
$
$$$"
Padma Cinema Hall,https://www.instagram.com/explore/locations/395736517511241/padma-cinema-hall/,"Padma Cinema Hall
Movie Theater
•
10
posts"
Bhairahawa Garden Resort,https://www.instagram.com/explore/locations/142395668963527/bhairahawa-garden-resort/,"Bhairahawa Garden Resort
Sewapath, Siddharthanagar -05, Bhairahwa, Lumbini, Nepal 32900
Hotel resort
•
219
posts
$$
$$
•
Open 24 hours
+977 71-591617"
Butwal Model College,https://www.instagram.com/explore/locations/1618215494895430/butwal-model-college/,"Butwal Model College
College & university
•
132
posts"
छपिया,https://www.instagram.com/explore/locations/2054371258127808/,"छपिया
Fish Farm
•
193
posts"
BHW Home,https://www.instagram.com/explore/locations/143445779071139/bhw-home/,"BHW Home
Home
•
390
posts"
Divyam Sweets,https://www.instagram.com/explore/locations/106561519037890/divyam-sweets/,"Divyam Sweets
Devkota Chowk , Bhairahawa 32900
Vegetarian/Vegan Restaurant
•
173
posts
$$
$$
•
Closed
+977 980-1435000"
Siddhartha Highway,https://www.instagram.com/explore/locations/876688906/siddhartha-highway/,"Siddhartha Highway
Local business
•
40
posts"
WayFarer Restaurant And Cafe,https://www.instagram.com/explore/locations/103704562273810/wayfarer-restaurant-and-cafe/,"WayFarer Restaurant And Cafe
zaika_restaurant_bhairahawa
Smart Plaza, 1st Floor, Near Jilla Prahari Karyalay, Bhairahawa 32900
Restaurant
•
173
posts
$
$$$
•
Open until 4:00 PM
+9779768351820"
Snooker House,https://www.instagram.com/explore/locations/379608188742279/snooker-house/,N/A
Bhairahawa Cafe and Restro,https://www.instagram.com/explore/locations/341333109826872/bhairahawa-cafe-and-restro/,"Bhairahawa Cafe and Restro
bhairahawa.cafe
Sano Colney Rd, Buddha Chowk, Bhairahawa 32900
Restaurant
•
30
posts
$$
$$
•
Open 24 hours
+9779867675004"
"Siddharth Nagar, Nepal",https://www.instagram.com/explore/locations/114849291940548/siddharth-nagar-nepal/,"Siddharth Nagar, Nepal
City
•
145
posts"
Lovesick,https://www.instagram.com/explore/locations/608880719196933/lovesick/,"Lovesick
Personal blog
•
487
posts
Open 24 hours
+977 986-7399553"
Bhairawaha,https://www.instagram.com/explore/locations/269108949/bhairawaha/,"Bhairawaha
Residence
•
275
posts"
मेरा गाँव,https://www.instagram.com/explore/locations/111105291243081/,"मेरा गाँव
Music video
•
205
posts"
Shivamandir Basdilawa,https://www.instagram.com/explore/locations/1988435964749433/shivamandir-basdilawa/,"Shivamandir Basdilawa
203
posts"
Palpa Raanimahal,https://www.instagram.com/explore/locations/692675100764938/palpa-raanimahal/,"Palpa Raanimahal
Nepal, Palpa
River
•
255
posts
Open 24 hours"
Bhairahawa Multipal Campus,https://www.instagram.com/explore/locations/1023263263/bhairahawa-multipal-campus/,"Bhairahawa Multipal Campus
Education
•
240
posts
Open 24 hours
+1 225-410-2011"
Pawan Misthanna Bhandar Bhairahawa,https://www.instagram.com/explore/locations/319571275/pawan-misthanna-bhandar-bhairahawa/,"Pawan Misthanna Bhandar Bhairahawa
bhairahaw, Bhairahawa 32900
Restaurant
•
23
posts
$
$$$
•
Open 24 hours
+977 984-7197001"
"Lumbini Road, Bhairahawa",https://www.instagram.com/explore/locations/572396847/lumbini-road-bhairahawa/,"Lumbini Road, Bhairahawa
Business Supply Service
•
171
posts
Open 24 hours"
Kanpara Resort,https://www.instagram.com/explore/locations/601085706963638/kanpara-resort/,"Kanpara Resort
Hotel
•
199
posts"
Red Wings RestaurantAnd Bar - Bhairahawa,https://www.instagram.com/explore/locations/278968905296848/red-wings-restaurantand-bar-bhairahawa/,"Red Wings Restaurant  And Bar - Bhairahawa
Khajahana - 3, Kishorpur Chowk, Bhairahawa 32900
Restaurant
•
163
posts
Closed
+977 981-9696982"
Bank Road,https://www.instagram.com/explore/locations/351210114984553/bank-road/,"Bank Road
Bank
•
28
posts
$$
$$"
Omsatiya,https://www.instagram.com/explore/locations/393624674563373/omsatiya/,"Omsatiya
Village
•
265
posts"
USPFC,https://www.instagram.com/explore/locations/295398285587078/uspfc/,N/A
RED SUN Hotel,https://www.instagram.com/explore/locations/1025149362/red-sun-hotel/,"RED SUN Hotel
283/17-283/19 Phạm Ngũ Lão, dist 1, Ho Chi Minh City, Vietnam
Hotel
•
109
posts
$
$$$
•
Open 24 hours
+84 838 367 214"
"Shantinagar,bhairahawa",https://www.instagram.com/explore/locations/306210400025725/shantinagarbhairahawa/,"Shantinagar,bhairahawa
Home
•
241
posts
Open 24 hours"
Khajuriya,https://www.instagram.com/explore/locations/446475819491939/khajuriya/,"Khajuriya
Khajuriya, Bhairahawa
Village
•
139
posts"
Bankroad Bhairahawa,https://www.instagram.com/explore/locations/1037787363069797/bankroad-bhairahawa/,"Bankroad Bhairahawa
32900
Department Store
•
218
posts"
Padsari Omsatiya 2,https://www.instagram.com/explore/locations/1841363509230292/padsari-omsatiya-2/,"Padsari Omsatiya 2
Palatine Restaurant
•
274
posts"
The bluez brothers,https://www.instagram.com/explore/locations/1232087643542731/the-bluez-brothers/,"The bluez brothers
the_bluez_brothers
Prahari tole-12, Bhairahawa, Bhairahawa 32900
Local business
•
487
posts
Closed
+9779813237833"
"Bank Colony,bhw.",https://www.instagram.com/explore/locations/1446726285550726/bank-colonybhw/,"Bank Colony,bhw.
Home
•
229
posts"
Ss Fitness & Aerobic,https://www.instagram.com/explore/locations/100524661832316/ss-fitness-aerobic/,"Ss Fitness & Aerobic
Gym/Physical Fitness Center
•
157
posts
$
$$$
•
Closed"
Rohanigaupalika,https://www.instagram.com/explore/locations/2058911461074494/rohanigaupalika/,"Rohanigaupalika
Just for fun
•
270
posts"
NANSC Resort Pvt Ltd,https://www.instagram.com/explore/locations/1021957815/nansc-resort-pvt-ltd/,"NANSC Resort Pvt Ltd
Devkota Chowk -13, Siddharthanagar, Nepal 32900
Hotel
•
176
posts
$$$
$
•
Open 24 hours
+977 71-574376"
"Anchalpur, Bhairahawa",https://www.instagram.com/explore/locations/1571144479850361/anchalpur-bhairahawa/,"Anchalpur, Bhairahawa
Region
•
203
posts"
Jawed Habib Hair & Beauty,https://www.instagram.com/explore/locations/741652472655791/jawed-habib-hair-beauty/,"Jawed Habib Hair & Beauty
Beauty Salon
•
2
posts
+977 71-573336"
Rolls NBites,https://www.instagram.com/explore/locations/326421124827972/rolls-nbites/,"Rolls N' Bites
Ice Cream Shop
•
70
posts
+977 982-3155799"
Bodhi Redsun,https://www.instagram.com/explore/locations/419494245050729/bodhi-redsun/,"Bodhi Redsun
Basantapur-04, Rupandehi, , Lumbini, Nepal 27612
Hotel
•
261
posts
$$
$$
+977 71-575957"
"Bhim Hospital,bhairahawa",https://www.instagram.com/explore/locations/206452730063501/bhim-hospitalbhairahawa/,"Bhim Hospital,bhairahawa
63
posts
+977 71-520291"
Hotel Sun Star International,https://www.instagram.com/explore/locations/103683424781966/hotel-sun-star-international/,"Hotel Sun Star International
Airport Road, Bhairahawa 32900
Hotel
•
124
posts
+977 985-7049450"
Darkhaswa Park,https://www.instagram.com/explore/locations/105239232284784/darkhaswa-park/,"Darkhaswa Park
Darkhaswa Park, Siddharthanagar-3, Bhairahawa
Nature Preserve
•
149
posts"
Brahma Kumaris Bhairahawa,https://www.instagram.com/explore/locations/1967921033493643/brahma-kumaris-bhairahawa/,"Brahma Kumaris Bhairahawa
Divya Shanti Retreat Centre, Om Shanti Path, Bhairahawa 32900
College & university
•
245
posts
$
$$$
+977 71-520211"
Anushri's Wardrobe,https://www.instagram.com/explore/locations/106344681270875/anushris-wardrobe/,"Anushri's Wardrobe
Retail company
•
375
posts"
"Bhairawa,nepal",https://www.instagram.com/explore/locations/372458078/bhairawanepal/,"Bhairawa,nepal
Region
•
102
posts
$$
$$"
Apna Havelii,https://www.instagram.com/explore/locations/2306363403013562/apna-havelii/,N/A
Siddhartha Cricket Stadium Bhairahawa,https://www.instagram.com/explore/locations/103313055629217/siddhartha-cricket-stadium-bhairahawa/,"Siddhartha Cricket Stadium Bhairahawa
Siddharthanagar , Eye Hospital , Bhairahawa, Nepal 32900
Sports & recreation
•
53
posts"
Hotel Crossroad,https://www.instagram.com/explore/locations/107891317481345/hotel-crossroad/,"Hotel Crossroad
Hotel
•
37
posts
$$$
$
+977 985-7051862"
Daune,https://www.instagram.com/explore/locations/559579311/daune/,"Daune
Food & beverage
•
35
posts"
Royal Lumbini Cottage & Family Restaurant,https://www.instagram.com/explore/locations/522034257963647/royal-lumbini-cottage-family-restaurant/,"Royal Lumbini Cottage & Family Restaurant
Lumbini Gate, Lumbini Road, Bhairahawa 00977
Restaurant
•
129
posts
$
$$$
+977 71-574244"
My Bhairahawa sweet home,https://www.instagram.com/explore/locations/156220557858176/my-bhairahawa-sweet-home/,"My Bhairahawa sweet home
Home
•
213
posts
+977 71-524379"
ओम सतिया गाऊ पालिका वाड न:४ बसन्तपुर बालापुर,https://www.instagram.com/explore/locations/100513253908896/,"ओम सतिया गाऊ पालिका वाड न:४ बसन्तपुर बालापुर
Public Utility Company
•
205
posts
Open 24 hours"
Butwal City,https://www.instagram.com/explore/locations/429148030/butwal-city/,"Butwal City
Street
•
123
posts"
Peace night Restaurent,https://www.instagram.com/explore/locations/250224705365252/peace-night-restaurent/,"Peace night Restaurent
32900
Restaurant
•
225
posts
$$
$$
•
Closed
+977 71-576025"
Patwa Marriage Hall,https://www.instagram.com/explore/locations/984122898443686/patwa-marriage-hall/,"Patwa Marriage Hall
Vacation Home Rental
•
130
posts
Open 24 hours"
Peace Night Restaurant & Party Palace Pvt. Ltd.,https://www.instagram.com/explore/locations/214737885886480/peace-night-restaurant-party-palace-pvt-ltd/,"Peace Night Restaurant & Party Palace Pvt. Ltd.
Ravi Path-08, Sidhharthanagar, Bhairahawa 32900
Restaurant
•
191
posts
$$
$$
•
Closed
+977 71-576025"
Dinesh Fashion Emporium Chaukhara,https://www.instagram.com/explore/locations/219898708543974/dinesh-fashion-emporium-chaukhara/,"Dinesh Fashion Emporium Chaukhara
multibrand_casual_store
272193
Clothing (Brand)
•
187
posts
Closed
+919984124501"
Nepal Albaik Restaurant & Bar,https://www.instagram.com/explore/locations/101704674616980/nepal-albaik-restaurant-bar/,"Nepal Albaik Restaurant & Bar
Prahari Tole -12 , Opposite of EVEREST BANK LTD , 
Bhairahawa, Nepal, Bhairahawa 32900
Fast food restaurant
•
49
posts
Closed
+977 982-7430413"
Buddha Bhumi,https://www.instagram.com/explore/locations/107638697711583/buddha-bhumi/,"Buddha Bhumi
Shopping & retail
•
35
posts
+977 980-5430261"
Bhairahwa Bhat Bhatnhi Shoping Mall,https://www.instagram.com/explore/locations/100647381453961/bhairahwa-bhat-bhatnhi-shoping-mall/,"Bhairahwa Bhat Bhatnhi Shoping Mall
Bagel Shop
•
44
posts
$$
$$"
Goligadh,https://www.instagram.com/explore/locations/317389242285746/goligadh/,"Goligadh
Goligadh, Bhairahawa
Village
•
13
posts
Open 24 hours"
Bhairahawa Multiple Campus Bhw,https://www.instagram.com/explore/locations/1034424822/bhairahawa-multiple-campus-bhw/,"Bhairahawa Multiple Campus Bhw
Education
•
137
posts
Open 24 hours
+1 225-410-2011"
Snazzy San’s Hair & Beauty Salon,https://www.instagram.com/explore/locations/1886914821538702/snazzy-sans-hair-beauty-salon/,"Snazzy San’s Hair & Beauty Salon
snazzy_sans
Aawaroad, Bhairahawa, Rupandehi, Bhairahawa 32900
Local business
•
131
posts
Open 24 hours
+9779817568838"
Hotel Lacoul,https://www.instagram.com/explore/locations/630339116/hotel-lacoul/,"Hotel Lacoul
Hotel
•
111
posts
$
$$$
•
Open 24 hours
+977 71-575575"
Shantinagar,https://www.instagram.com/explore/locations/284325575/shantinagar/,"Shantinagar
Bhairahawa 32900, Nepal, Bhairahawa
Home
•
171
posts
Open 24 hours"
Ss Fitness & Aerobic,https://www.instagram.com/explore/locations/1684268838563655/ss-fitness-aerobic/,"Ss Fitness & Aerobic
Gym/Physical Fitness Center
•
134
posts
$
$$$
•
Closed"
Bhairahawa Bhatbhateni,https://www.instagram.com/explore/locations/104760364357252/bhairahawa-bhatbhateni/,"Bhairahawa Bhatbhateni
Department Store
•
42
posts"
HOTEL Glasgow,https://www.instagram.com/explore/locations/1028427381/hotel-glasgow/,"HOTEL Glasgow
BANKROAD-5, Bhairawa, Nepal 0091
Hotel
•
23
posts
Open 24 hours
+977 71-523737"
"National Wheat Research Program, Bhairahawa",https://www.instagram.com/explore/locations/484799961703112/national-wheat-research-program-bhairahawa/,"National Wheat Research Program, Bhairahawa
Government Building
•
21
posts
Closed"
Alisha,https://www.instagram.com/explore/locations/933852702/alisha/,N/A
The Delight,https://www.instagram.com/explore/locations/115405546681555/the-delight/,"The Delight
Comfort Food Restaurant
•
37
posts"
